comment	Top_Class	HateSpeech_Confidence	Ofensive_Language_Confidence	Neither_Confidence
show us ur face	neither	0.1774316109538182	0.22190015039024333	0.6006682386559384
pepod	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
rip botlane lulw	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
mention fuhl ich kappa	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
hi chat	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
song	neither	0.038601720699969956	0.3448280572582511	0.616570222041779
use playlist  see   trick playlists  find  song google  lyrics head	neither	0.02267848313987264	0.3537810846617502	0.6235404321983772
mention current song stefy fankhauser  sa sa sa ya tu sa ya tu sa mesa que mas aplauda requested  liana 	neither	0.03221062485250407	0.4505715017810145	0.5172178733664815
eltruco	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
el trollo	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
 want facecam	neither	0.04006735011429477	0.3199525011091858	0.6399801487765195
mention kappa	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
 pm 	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
 cho feelsbadman	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
ye	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
 serbia	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
manu chao y	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
facecam	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
manu chao	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
pull    kid	neither	0.038944920498613596	0.33900306099516714	0.6220520185062193
sarcasmkekw weirdw shrug	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
 mexican mus	neither	0.042942182119862664	0.3291760700318708	0.6278817478482666
 one   manu chao	neither	0.037120114141193455	0.4161101105580569	0.5467697753007497
sr 	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
 love  song	neither	0.03445438558939122	0.3625534800753528	0.6029921343352559
vidim ima srba lol	neither	0.027661564092535968	0.4204665135978592	0.5518719223096049
hahahahaha	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
kekw clap	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
 moldova 	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
 dude really playing udyr	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
 georgia	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
 gusta la mananas  gustas trick	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
 gustas tu	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
 gustas tu	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
sarcasm  alinity milo pepega fbcatch coolcat 	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
  summer pog	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
   el   truckkkooo	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
trkez	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
whop lays udyr rofl	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
 gustas tu  gusta marihuana  gustas tu	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
 gusta la cucaracha  gustas tu	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
 gusta la mota  gustas tu 	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
forsencd  boi	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
hi brok	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
 cam	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
 gustas tu trkboom	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
mention  whole album  pog	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
 gusta el truco  gustas tu 	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
yeah	offensive_language	0.013968601452186464	0.5182923869769311	0.4677390115708824
trklegend trklegend trklegend	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
trkgasp trkgasp trkgasp trkgasp	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
gusta	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
trick   live   mins  sec	neither	0.042969654555723706	0.3291666210014131	0.6278637244428631
    talking 	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
streaming   sun lol	neither	0.032680813095114586	0.37889606973327844	0.588423117171607
pedro de pacas 	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
truco	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
je ne se pai	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
music	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
 gustas udyr  gustas trick pound	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
trkha	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
 jame	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
sharp clean everyth	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
wurfac	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
mention current song stefy fankhauser  sa sa sa ya tu sa ya tu sa mesa que mas aplauda requested  liana 	neither	0.03221062485250407	0.4505715017810145	0.5172178733664815
mention  dude makes bomb song	neither	0.03909015840310777	0.3362564886631837	0.6246533529337085
u   white kappa	hate_speech	0.6120968318059195	0.35818339106864827	0.029719777125432098
fr music wutface wutface wutfac	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
gipa subscribed  twitch prime  subscribed   months currently    month streak 	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
trklegend welcome back gipa   months   row thank  trklegend trklegend	neither	0.03914587391371802	0.3355923570942229	0.6252617689920592
gipa sub shared rewards   others  chat 	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
move	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
buy  stuff   mastodonte truco	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
mention oui	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
lightskin trucko   squint ey	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
el rata	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
  ur glasses called	neither	0.06636112259784205	0.3211212225118676	0.6125176548902904
ou pls turn   facecam ahhaha	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
thanks   hahathink ment	neither	0.035884468650613	0.3004919205142699	0.6636236108351171
 jhondyr class	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
report trick afk	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
trkwave trkwave trkwave ment	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
el truco	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
lets  go 	neither	0.039984317429425154	0.35542799280679366	0.6045876897637812
  music	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
trkrat	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
 time  play   kid	neither	0.03764251261388583	0.36110832181272273	0.6012491655733915
turtle	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
  ur glasses cal	neither	0.060807497688528965	0.32303136878299676	0.6161611335284743
sub   new gaming yt channel  	neither	0.04179405047336277	0.2727397475703961	0.6854662019562411
 mexican music pl	neither	0.04391428566456749	0.3288417190464531	0.6272439952889795
music  	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
  sepeku pog	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
 solo q   aint malding	neither	0.04104632639258127	0.42655020337983474	0.5324034702275839
sa sa sa	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
 look today  pretty 	neither	0.039915485502362624	0.3024289428037566	0.6576555716938808
 last song   french guy making cuban mus	neither	0.03934880027851705	0.3321481670879726	0.6285030326335105
subscribe  trickg  fix  hairline keepo	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
lul lul	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
seppuku lul	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
darkenedfuryeu subscribed  twitch prime  subscribed   months currently    month streak 	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
trklegend welcome back darkenedfuryeu   months   row thank  trklegend trklegend	neither	0.03914587391371802	0.3355923570942229	0.6252617689920592
darkenedfuryeu sub shared rewards   others  chat 	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
vampier	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
trkwave trkwave trkwave trkwave trkwave trkwav	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
 manu chao	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
trick get  music back 	neither	0.03892240364822793	0.3393852307105087	0.6216923656412634
day  pog	neither	0.04062343770405816	0.29560591037067285	0.663770651925269
malding lulw	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
check  trick new limited edition custom preworkout  collab  gymflo get   	neither	0.041557706696480026	0.2760548748228388	0.6823874184806811
put   gusta	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
 god  looks angri	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
kekw	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
owop	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
ashenkeys subscribed  twitch prime  subscribed   months currently    month streak 	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
trklegend welcome back ashenkeys   months   row thank  trklegend trklegend	neither	0.03914587391371802	0.3355923570942229	0.6252617689920592
