user_name	user_vcount	video_created_at	video_title	video_vcount	comment_created_at	commenter_name	message
TSM_Bjergsen	92608310	2019-10-31T02:30:38Z	Chill stream, playing with a fan at 8 PM PST.	7798	2019-10-31T02:32:27.478Z	FrostyyKC	POG POG
TSM_Bjergsen	92608310	2019-10-31T02:30:38Z	Chill stream, playing with a fan at 8 PM PST.	7798	2019-10-31T02:32:27.935Z	Fiku	how do u have 122 friend requests
TSM_Bjergsen	92608310	2019-10-31T02:30:38Z	Chill stream, playing with a fan at 8 PM PST.	7798	2019-10-31T02:32:29.574Z	IC3E5	BJERG URF POGGERS
TSM_Bjergsen	92608310	2019-10-31T02:30:38Z	Chill stream, playing with a fan at 8 PM PST.	7798	2019-10-31T02:32:31.816Z	lambtron	TSM 100% OWNER PogChamp
TSM_Bjergsen	92608310	2019-10-31T02:30:38Z	Chill stream, playing with a fan at 8 PM PST.	7798	2019-10-31T02:32:31.897Z	sujectlol	sujectlol subscribed with Twitch Prime. 
TSM_Bjergsen	92608310	2019-10-31T02:30:38Z	Chill stream, playing with a fan at 8 PM PST.	7798	2019-10-31T02:32:32.077Z	Moobot	Thanks for subbing, @sujectlol! bjergYeah
TSM_Bjergsen	92608310	2019-10-31T02:30:38Z	Chill stream, playing with a fan at 8 PM PST.	7798	2019-10-31T02:32:32.332Z	Yung_Prod	Yung_Prod subscribed at Tier 1. They've subscribed for 43 months! holy shit boys almost 4 years :D
TSM_Bjergsen	92608310	2019-10-31T02:30:38Z	Chill stream, playing with a fan at 8 PM PST.	7798	2019-10-31T02:32:36.066Z	Windover_	Bjerg stream PogU
TSM_Bjergsen	92608310	2019-10-31T02:30:38Z	Chill stream, playing with a fan at 8 PM PST.	7798	2019-10-31T02:32:36.358Z	kevinmatuu	Greetings From Argentina!!!
TSM_Bjergsen	92608310	2019-10-31T02:30:38Z	Chill stream, playing with a fan at 8 PM PST.	7798	2019-10-31T02:32:36.68Z	HeyItsBlumpers	Welcome back to the world, Bjerg!
TSM_Bjergsen	92608310	2019-10-31T02:30:38Z	Chill stream, playing with a fan at 8 PM PST.	7798	2019-10-31T02:32:37.625Z	jpizz001	hi
TSM_Bjergsen	92608310	2019-10-31T02:30:38Z	Chill stream, playing with a fan at 8 PM PST.	7798	2019-10-31T02:32:37.72Z	Dallevita	Been waiting fotr your stream 4 like 4 months
TSM_Bjergsen	92608310	2019-10-31T02:30:38Z	Chill stream, playing with a fan at 8 PM PST.	7798	2019-10-31T02:32:37.994Z	Y9mato	lffnTSM
TSM_Bjergsen	92608310	2019-10-31T02:30:38Z	Chill stream, playing with a fan at 8 PM PST.	7798	2019-10-31T02:32:38.044Z	ShdwFlm	Moving?
TSM_Bjergsen	92608310	2019-10-31T02:30:38Z	Chill stream, playing with a fan at 8 PM PST.	7798	2019-10-31T02:32:38.56Z	sk_redwolf	Holy shit my favorite player ever with my favorite music ever
TSM_Bjergsen	92608310	2019-10-31T02:30:38Z	Chill stream, playing with a fan at 8 PM PST.	7798	2019-10-31T02:32:39.031Z	FrostyyKC	bjergTSM bjergTSM bjergTSM
TSM_Bjergsen	92608310	2019-10-31T02:30:38Z	Chill stream, playing with a fan at 8 PM PST.	7798	2019-10-31T02:32:39.084Z	illuminella	@tsm_bjergsen love you! Thank you for staying with tsm!!!!!
TSM_Bjergsen	92608310	2019-10-31T02:30:38Z	Chill stream, playing with a fan at 8 PM PST.	7798	2019-10-31T02:32:39.287Z	Volpestrati	PogChamp PogChamp
TSM_Bjergsen	92608310	2019-10-31T02:30:38Z	Chill stream, playing with a fan at 8 PM PST.	7798	2019-10-31T02:32:39.382Z	Brush	no way bjergsen is live right now I love u
TSM_Bjergsen	92608310	2019-10-31T02:30:38Z	Chill stream, playing with a fan at 8 PM PST.	7798	2019-10-31T02:32:39.588Z	nLIMBO	THE MADMAN ACTUALLY TURNED THE STREAM ON
TSM_Bjergsen	92608310	2019-10-31T02:30:38Z	Chill stream, playing with a fan at 8 PM PST.	7798	2019-10-31T02:32:41.513Z	DeftlyVI	TSM TSM TSM TSM !!!!!!
TSM_Bjergsen	92608310	2019-10-31T02:30:38Z	Chill stream, playing with a fan at 8 PM PST.	7798	2019-10-31T02:32:41.531Z	oturam3	BJERG I LOVE YOU
TSM_Bjergsen	92608310	2019-10-31T02:30:38Z	Chill stream, playing with a fan at 8 PM PST.	7798	2019-10-31T02:32:42.45Z	NStayDown	please stream more
TSM_Bjergsen	92608310	2019-10-31T02:30:38Z	Chill stream, playing with a fan at 8 PM PST.	7798	2019-10-31T02:32:46.947Z	giihxd	BJERG💕
TSM_Bjergsen	92608310	2019-10-31T02:30:38Z	Chill stream, playing with a fan at 8 PM PST.	7798	2019-10-31T02:32:47.088Z	thekaiido	they have a cannon
TSM_Bjergsen	92608310	2019-10-31T02:30:38Z	Chill stream, playing with a fan at 8 PM PST.	7798	2019-10-31T02:32:47.421Z	Avethis	oh hi
TSM_Bjergsen	92608310	2019-10-31T02:30:38Z	Chill stream, playing with a fan at 8 PM PST.	7798	2019-10-31T02:32:48Z	Xenui	There is cannon to fly
TSM_Bjergsen	92608310	2019-10-31T02:30:38Z	Chill stream, playing with a fan at 8 PM PST.	7798	2019-10-31T02:32:49.671Z	kangaeru0	wooah
TSM_Bjergsen	92608310	2019-10-31T02:30:38Z	Chill stream, playing with a fan at 8 PM PST.	7798	2019-10-31T02:32:49.867Z	kamoii__	Ignite/Barrier
TSM_Bjergsen	92608310	2019-10-31T02:30:38Z	Chill stream, playing with a fan at 8 PM PST.	7798	2019-10-31T02:32:50.213Z	LegendLorenzo1	wowowoowowowowow
TSM_Bjergsen	92608310	2019-10-31T02:30:38Z	Chill stream, playing with a fan at 8 PM PST.	7798	2019-10-31T02:32:50.263Z	Windover_	Cannons make TP useless
TSM_Bjergsen	92608310	2019-10-31T02:30:38Z	Chill stream, playing with a fan at 8 PM PST.	7798	2019-10-31T02:32:50.416Z	themodem81	check out Natureback's Instagram!
TSM_Bjergsen	92608310	2019-10-31T02:30:38Z	Chill stream, playing with a fan at 8 PM PST.	7798	2019-10-31T02:32:51.794Z	LJP23	pogggggg bjerg stream
TSM_Bjergsen	92608310	2019-10-31T02:30:38Z	Chill stream, playing with a fan at 8 PM PST.	7798	2019-10-31T02:32:52.398Z	oturam3	PLEASE SAY HELLO TO BRAZIL
TSM_Bjergsen	92608310	2019-10-31T02:30:38Z	Chill stream, playing with a fan at 8 PM PST.	7798	2019-10-31T02:32:52.631Z	kingkong8ooo	There is a cannon that fire u on the map
TSM_Bjergsen	92608310	2019-10-31T02:30:38Z	Chill stream, playing with a fan at 8 PM PST.	7798	2019-10-31T02:32:53.28Z	DJ_Y4SSIN	zed time. bring it back bjergsen
TSM_Bjergsen	92608310	2019-10-31T02:30:38Z	Chill stream, playing with a fan at 8 PM PST.	7798	2019-10-31T02:32:53.415Z	Spudtacuhlar	BJEARDSON!!!!!!!
TSM_Bjergsen	92608310	2019-10-31T02:30:38Z	Chill stream, playing with a fan at 8 PM PST.	7798	2019-10-31T02:32:54.002Z	Timantha1	@TSM_Bjergsen Moving to 100T house? Kappa
